,,,,,,,,,,,,,Reunion y Colaboracion,,,,,,,Entretenimiento y Cultura,,,,,,,Hogar y espacios personales,,,,,Espacios Comerciales,,,,Hosteleria,,Museos y Parques,,Educacion,,,,,,Oracion y Culto,,,,,Espacios Deportivos,,,Espacios de atencion a la salud,,,Espacios Corporativos,,,,Transporte,,,,Gubernamental,,,
ID,Tipo,Producto,Foto,Marca,Modelo,Descripcion,Cuando_Usar,EVAC,Requiere_Accesorio_o_equipo_Adic,Power_Supply_Adicional,Tapa_Adicional,Caja_Adicional,Escritorio_o_Home_Office,Huddle_Room,Sala_de_Juntas,Auditorio,Salones_Multiples,Congresos__Consejos,Centros_de_Convenciones,Restaurante,RestoBar,Bar__Lounge,Bar_con_Musica_en_Vivo,Discoteca,Teatro,Concierto_Aire_libre,Fiesta_Portatil,Sala_de_Escucha_en_su_casa,Home_Theater,Apartamento_Completo,Casa_Completa,Tienda_o_Boutique,Market,Mall,Centro_Comercial,Hoteles,Resort,Museo,Parques_Tematicos,Educacion_a_Distancia,Salon_de_Clases,Escuela,Colegio,Campus_Universitario,Biblioteca,Capilla,Iglesia,Basilica,Casa_de_Oracion,Centro_de_Oracion,Gimnasio,Coliseo,Estadio,Consultorio,Edificio_Mediano_o_Clinica,Gran_Edificio_u_Hospital,Bodegas,Fabricas,Complex_Oficinas,Gran_Edificio_Oficinas,Aeropuerto_regional,Aeropuerto_nacional,Aeropuerto_internacional,Metro,Edificios_Administrativos,Infraestructura_Tuneles__Puertos,Evacuacion_Ciudades,POR_Definir
427000,Audio,15. Transporte Audio,/427000_FP-TPS4A-.png,RDL,FP-TPS4A,Transmisor de RCA linea a Cable Cat5e (FormatA) para sistema de TV Habitacion,"Si necesita tomar el audio del TV de su habitacion y enviarlo a unos audifonos en su mesa de noche o a unos altavoces en el baño de manera que la persona que ocupe este cuarto pueda brindarle tranquilidad y decanzo a su otro acompañante al no generarle ruidos cuando el este viendo TV, sino que tambien va a poder enrutar la señal de audio al baño para no perder las noticias o programa que esta escuchando",,Cualquier receptor  Format A,PS-24AS,CP-1,,,,1,1,1,1,1,,,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,,,,1,1,1,,,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,,
428000,Audio,15. Transporte Audio,/428000_FP-TPSR4A-.png,RDL,FP-TPSR4A,Interfaz Bidireccional de 2 señales FormatA y 2 Señales Line para sistema de TV Habitacion,"Si necesita tomar el audio del TV de su habitacion bi-direccional, es decir ademas de enviar señal a unos audifonos en su mesa de noche o a unos altavoces en el baño de manera que la persona que ocupe este cuarto permita tranquilidad y decanzo a su otro acompañante al no generarle ruidos cuando el este viendo TV, sino que tambien va a poder enrutar la señal de audio al baño para no perder las noticias o programa que esta escuchando, y la bidireccionalidad viene que tambien puedes tomar mas señales y llevarlas al TV o al mismo sistema",,Cualquier receptor y transmisor Format A,PS-24AS,,,,,1,1,1,1,1,,,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,,,,1,1,1,,,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,,
429000,Audio,15. Transporte Audio,/429000_TX-TP1PW-.png,RDL,TX-TP1PW,Insertador de potencia a sistema FormatA,"Cuando tenga un sistema de transmision de audio FormatA y no desee inyectar potencia en cada uno de los puntos de recepcion y transmision, sino alimentarlos por el mismo cable, este aparato le permitira agilidad y limpieza en insalacion.",,Cualquier transmisor y Receptor Format A,PS-24AS,,,,,1,1,1,1,1,,,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,,,,1,1,1,,,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,,
430000,Audio,15. Transporte Audio,/430000_D-HA1A-.png,RDL,D-HA1A,Receptor de Cable Cat5e (FormatA) a Amplificador de audifonos con volumen (Caja 4x2),Cuando quiera tener una conexion de audifonos con calidad y potencia y pueda controlar el volumen de este y utilizo cualquiera de los transmisores de tecnologia Format-A de RDL va a tener que decodificar esta señal y este es el formato que le permite el transporte de esta señal por largas distancias sin perdidas ni ridos y es compatible con muchos otros modulos de entradas y salidas,,,PS-24AS,CP-1,caja 4x2 standard,,,1,1,1,1,1,,,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,,,,1,1,1,,,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,,
431000,Audio,15. Transporte Audio,/431000_D-PSP1A-.png,RDL,D-PSP1A,Receptor de Cable Cat5e (FormatA) a Altavoz autoamplificado con volumen (Caja 4x2),Cuando quiera tener un altavoz tipo monitor que cabe dentro de una caja 4x2 que tenga su propio amplificador con control de volumen para y utilizo cualquiera de los transmisores de tecnologia Format-A de RDL va a tener que decodificar esta señal y este es el formato que le permite transporte a largas distancias sin perdidas ni ruidos y es compatible con muchos otros modulos de entradas y salidas,,,PS-24AS,CP-1,caja 4x2 standard,,,1,1,1,1,1,,,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,,,,1,1,1,,,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,,
432000,Audio,15. Transporte Audio,/432000_D-TPA1A-.png,RDL,D-TPA1A,"Receptor de Cable Cat5e (FormatA) a Amplificador de 3,5w 8ohm con volumen (Caja 4x2)",Cuando quiera tener un mini amplificador que cabe dentro de una caja 4x2 con control de volumen para amplificar un altavoz de techo o de muro pequeño y utilizo cualquiera de los transmisores de tecnologia Format-A de RDL va a tener que decodificar esta señal y este es el formato que le permite transporte a largas distancias sin perdidas ni ruidos y es compatible con muchos otros modulos de entradas y salidas,,,PS-24AS,CP-1,caja 4x2 standard,,,1,1,1,1,1,,,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,,,,1,1,1,,,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,,
433000,Audio,15. Transporte Audio,/433000_D-TPR1A-.png,RDL,D-TPR1A,Receptor de Cable Cat5e (FormatA) a XLR Mic/Line Output (Caja 4x2),"Cuando quiera disponer de señales de microfono o linea y utilizo cualquiera de los transmisores de tecnologia Format-A de RDL, va a tener que decodificar esta señal para poderla inyectar nuevamente a su mixer, procesador o matrix.  Con este equipo aca usted va a tomar el audio sin perdida ni ruidos y lo convertira nuevamente en salida ya sea de microfono o de linea en conector XLR ya armado para instalar en caja 4x2",,Cualquier Transmisor Format A,PS-24AS,CP-1,caja 4x2 standard,,,1,1,1,1,1,,,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,,,,1,1,1,,,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,,
434000,Audio,15. Transporte Audio,/434000_D-TPR2A-.png,RDL,D-TPR2A,Receptor de Cable Cat5e (FormatA) a RCA Line Output (Caja 4x2),"Cuando quiera disponer de señales RCA de linea y utilizo cualquiera de los transmisores de tecnologia Format-A de RDL, va a tener que decodificar esta señal para poderla inyectar nuevamente a su mixer, procesador o matrix.  Con este equipo aca usted va a tomar el audio sin perdida ni ruidos y lo convertira nuevamente en salida de linea en conector RCA ya armado para instalar en caja 4x2",,Cualquier Transmisor Format A,PS-24AS,CP-1,caja 4x2 standard,,,1,1,1,1,1,,,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,,,,1,1,1,,,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,,
435000,Audio,15. Transporte Audio,/435000_TX-TPR1A-.png,RDL,TX-TPR1A,Receptor de Cable Cat5e (FormatA) a salida linea balanceada o desbalanceada,"Cuando quiera disponer de una señal de linea y utilizo cualquiera de los transmisores de tecnologia Format-A de RDL, va a tener que decodificar esta señal para poderla inyectar nuevamente a su mixer, procesador o matrix.  Con este equipo aca usted va a tomar el audio sin perdida ni ruidos y lo convertira nuevamente en salida ya sea de linea balanceada en un modulo que podra instalar en un rack cerca del equipo de entrada.",,Cualquier Transmisor Format A,PS-24AS,,,,,1,1,1,1,1,,,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,,,,1,1,1,,,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,,
436000,Audio,15. Transporte Audio,/436000_AV-LN4-.png,RDL,AV-LN4,Transmisor de 4 señales linea a Dante,Si necesita inyectar 4 señales de linea en XLR y transmitirlas por IP (dante) muy usado para llevar señales a sitios remotos facilmente y crear sistemas descentalizados que permitan agilidad y flexibilidad en las configuraciones y conexiones,,Cualquier receptor Dante,PS-24AS,,,,,1,1,1,1,1,,,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,,,,1,1,1,,,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,,
437000,Audio,15. Transporte Audio,/437000_AV-XMN4-.png,RDL,AV-XMN4,Transmisor de 4 señales Mic a Dante,Si necesita inyectar 4 señales de microfono y transmitirlas por IP (dante) muy usado para llevar señales a sitios remotos facilmente y crear sistemas descentalizados que permitan agilidad y flexibilidad en las configuraciones y conexiones,,Cualquier receptor Dante,PS-24AS,,,,,1,1,1,1,1,,,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,,,,1,1,1,,,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,,
438000,Audio,15. Transporte Audio,/438000_SF-UNI1-.png,RDL,SF-UNI1,Transmisor de USB a Dante,Si necesita inyectar 1 señal de audio USB Tipo B y transmitirlas por IP (dante) muy usado para llevar señales a sitios remotos facilmente y crear sistemas descentalizados que permitan agilidad y flexibilidad en las configuraciones y conexiones,,Cualquier receptor Dante,PoE,,,,,1,1,1,1,1,,,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,,,,1,1,1,,,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,,
439000,Audio,15. Transporte Audio,/439000_DD-BN2ML-.png,RDL,DD-BN2ML,Transmisor de 1 señal Mic y linea a Dante mas recepcion de otras 2,"Si necesita inyectar 1 señal de microfono mas 1 de linea y transmitirlas por IP (dante) pero tambien tomar otras 2 señales IP y convertirlas en audio, muy usado para llevar señales a sitios remotos facilmente y crear sistemas descentalizados que permitan agilidad y flexibilidad en las configuraciones y conexiones",,Cualquier receptor y/o tranmisor Dante,PS-24AS,,,,,1,1,1,1,1,,,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,,,,1,1,1,,,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,,
440000,Audio,15. Transporte Audio,/440000_DD-BN31-.png,RDL,DD-BN31,Transmisor de 2 señales Mic y 2 linea a Dante mas recepcion de otras 4,"Si necesita inyectar 2 señales de microfono mas 2 de linea y transmitirlas por IP (dante) pero tambien tomar otras 4 señales IP y convertirlas en audio, muy usado para llevar señales a sitios remotos facilmente y crear sistemas descentalizados que permitan agilidad y flexibilidad en las configuraciones y conexiones",,Cualquier receptor y/o tranmsisor Dante,PS-24AS,,,,,1,1,1,1,1,,,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,,,,1,1,1,,,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,,
441000,Audio,15. Transporte Audio,/441000_DD-BN22-.png,RDL,DD-BN22,Transmisor de 2 señales Mic a Dante mas recepcion de otras 2,"Si necesita inyectar 2 señales de microfono y transmitirlas por IP (dante) pero tambien tomar otras 2 señales IP y convertirlas en XLR, muy usado para llevar señales a sitios remotos facilmente y crear sistemas descentalizados que permitan agilidad y flexibilidad en las configuraciones y conexiones",,Cualquier receptor y/o tranmsisor Dante,PS-24AS,,,,,1,1,1,1,1,,,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,,,,1,1,1,,,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,,
442000,Audio,15. Transporte Audio,/442000_DD-BTN44-.png,RDL,DD-BTN44,Transmisor de 1 señal bluetooth y linea a Dante mas recepcion de Bluetooth y otras de audio,"Si necesita inyectar 1 señal de bluetooth mas 1 de linea y transmitirlas por IP (dante) pero tambien tomar la señal IP y convertirla en bluetooth y audio, muy usado para llevar señales a sitios remotos facilmente y crear sistemas descentalizados que permitan agilidad y flexibilidad en las configuraciones y conexiones",,Cualquier receptor y/o tranmisor Dante,PS-24AS,,,,,1,1,1,1,1,,,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,,,,1,1,1,,,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,,
443000,Audio,15. Transporte Audio,/443000_RU-FNP-.png,RDL,RU-FNP,Transmisor de FormatA (3 señales) a Dante (4 señales),"Si necesita tomar una señal FormatA triple y convertirla en 4 señales de audio por IP tipo Dante y viceberza, este es el equipo ideal.  Esto es muy usado para llevar señales a sitios remotos facilmente y crear sistemas descentalizados que permitan agilidad y flexibilidad en las configuraciones y conexiones especialmente por la conveniencia que le permite la retransmision por FormatA dandole mas dsitancia al punto inicial",,Cualquier Transmisor Format A,PS-24AS,,,,,1,1,1,1,1,,,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,,,,1,1,1,,,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,,
444000,Audio,15. Transporte Audio,/444000_RU-LB2P-.png,RDL,RU-LB2P,Interfaz Bidireccional de 2 señales Dante y 2 señales Linea,"Si necesita tomar dos señales de audio por IP tipo Dante y convertirla en dos señales de linea y viceberza, este es el equipo ideal.  Esto es muy usado para llevar señales a sitios remotos facilmente y crear sistemas descentalizados que permitan agilidad y flexibilidad en las configuraciones y conexiones",,Cualquier Transmisor o receptor Dante,PS-24AS,,,,,1,1,1,1,1,,,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,,,,1,1,1,,,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,,
445000,Audio,15. Transporte Audio,/445000_RU-LB4P-.png,RDL,RU-LB4P,Interfaz Bidireccional de 4 señales Dante y 4 señales Linea,"Si necesita tomar 4 señales de audio por IP tipo Dante y convertirla en 4 señales de linea y viceberza, este es el equipo ideal.  Esto es muy usado para llevar señales a sitios remotos facilmente y crear sistemas descentalizados que permitan agilidad y flexibilidad en las configuraciones y conexiones",,Cualquier Transmisor o receptor Dante,PS-24AS,,,,,1,1,1,1,1,,,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,,,,1,1,1,,,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,,
446000,Audio,15. Transporte Audio,/446000_RU-MLB2P-.png,RDL,RU-MLB2P,Interfaz Bidireccional de 2 señales Dante y 2 señales Mic/line,"Si necesita tomar dos señales de audio por IP tipo Dante y convertirla en dos señales de microfono o linea y viceberza, este es el equipo ideal.  Esto es muy usado para llevar señales a sitios remotos facilmente y crear sistemas descentalizados que permitan agilidad y flexibilidad en las configuraciones y conexiones",,Cualquier Transmisor o receptor Dante,PS-24AS,,,,,1,1,1,1,1,,,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,,,,1,1,1,,,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,,
447000,Audio,15. Transporte Audio,/447000_RU-MLB4P-.png,RDL,RU-MLB4P,Interfaz Bidireccional de 4 señales Dante y 4 señales Mic/line,"Si necesita tomar 4 señales de audio por IP tipo Dante y convertirla en 4 señales de microfono o linea y viceberza, este es el equipo ideal.  Esto es muy usado para llevar señales a sitios remotos facilmente y crear sistemas descentalizados que permitan agilidad y flexibilidad en las configuraciones y conexiones",,Cualquier Transmisor o receptor Dante,PS-24AS,,,,,1,1,1,1,1,,,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,,,,1,1,1,,,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,,
448000,Audio,15. Transporte Audio,/448000_SF-BNC2-.png,RDL,SF-BNC2,Interfaz Bidireccional de 2 señales Dante y 2 señales line,"Si necesita tomar 2 señales de audio por IP tipo Dante y convertirla en una señal  audio y viceberza, este es el equipo ideal.  Esto es muy usado para llevar señales a sitios remotos facilmente y crear sistemas descentalizados que permitan agilidad y flexibilidad en las configuraciones y conexiones",,Culaquier receptor y transmisor FormatA,PoE,,,,,1,1,1,1,1,,,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,,,,1,1,1,,,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,,
449000,Audio,15. Transporte Audio,/449000_RU-BNFP-.png,RDL,RU-BNFP,Interfaz Bidireccional de Dante (4 señales) y FormatA (3 señales),"Si necesita tomar 4 señales de audio por IP tipo Dante y convertirla en una señal FormatA triple y viceberza, este es el equipo ideal.  Esto es muy usado para llevar señales a sitios remotos facilmente y crear sistemas descentalizados que permitan agilidad y flexibilidad en las configuraciones y conexiones especialmente por la conveniencia que le permite la retransmision por FormatA dandole mas disitancia al punto final y al inicial",,Culaquier receptor y transmisor FormatA,PS-24AS,,,,,1,1,1,1,1,,,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,,,,1,1,1,,,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,,
450000,Audio,15. Transporte Audio,/450000_AV-NL4-.png,RDL,AV-NL4,Receptor 4 señales dante a audio XLR,Si necesita tomar 4 señales de audio por IP tipo Dante y convertirla en 2 señales de linea Balanceado en sitios remotos,,Cualquier Transmisor Dante,PS-24AS,,,,,1,1,1,1,1,,,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,,,,1,1,1,,,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,,
451000,Audio,15. Transporte Audio,/451000_RU-NL4P-.png,RDL,RU-NL4P,Receptor de 4 señales Dante a 4 salidas de linea,"Si necesita tomar dos señales de audio por IP tipo Dante y convertirla en 4 señales de linea, este es el equipo ideal.  Esto es muy usado para llevar señales a sitios remotos facilmente y crear sistemas descentalizados que permitan agilidad y flexibilidad en las configuraciones y conexiones",,Cualquier tranmsisor Dante,PS-24AS,,,,,1,1,1,1,1,,,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,,,,1,1,1,,,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,,
452000,Audio,15. Transporte Audio,/452000_RU-NL2P-.png,RDL,RU-NL2P,Receptor 2 señales dante a 2 salidas de linea,"Si necesita tomar dos señales de audio por IP tipo Dante y convertirla en dos señales de linea, este es el equipo ideal.  Esto es muy usado para llevar señales a sitios remotos facilmente y crear sistemas descentalizados que permitan agilidad y flexibilidad en las configuraciones y conexiones",,Cualquier tranmsisor Dante,PS-24AS,,,,,1,1,1,1,1,,,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,,,,1,1,1,,,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,,
453000,Audio,15. Transporte Audio,/453000_AV-NH1-.png,RDL,AV-NH1,Receptor 2 señales dante a Audifonos,Si necesita tomar 2 señales de audio por IP tipo Dante y convertirla en señales para audifonos en sitios remotos,,Cualquier Transmisor Dante,PS-24AS,,,,,1,1,1,1,1,,,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,,,,1,1,1,,,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,,
454000,Audio,15. Transporte Audio,/454000_AV-NL2-.png,RDL,AV-NL2,Receptor 2 señales dante a audio XLR,Si necesita tomar 2 señales de audio por IP tipo Dante y convertirla en 2 señales de linea Balanceado en sitios remotos,,Cualquier Transmisor Dante,PS-24AS,,,,,1,1,1,1,1,,,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,,,,1,1,1,,,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,,
455000,Audio,15. Transporte Audio,/455000_FP-NML2P-.png,RDL,FP-NML2P,Receptor 1 señal dante a Mic/Line Output,Si necesita tomar una señal de audio por IP tipo Dante y convertirla en una señal de microfono o linea este es el equipo ideal.  Esto es muy usado para llevar señales a sitios remotos facilmente y crear sistemas descentalizados que permitan agilidad y flexibilidad en las configuraciones y conexiones,,Cualquier transmisor Dante,PS-24AS,,,,,1,1,1,1,1,,,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,,,,1,1,1,,,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,,
456000,Audio,15. Transporte Audio,/456000_RU-NFDP-.png,RDL,RU-NFDP,Receptor de Dante (4 señales) a FormatA (3 señales),Si necesita tomar 2 señales de audio por IP tipo Dante y convertirla en una señal FormatA triple.  Esto es muy usado para llevar señales a sitios remotos facilmente y crear sistemas descentalizados que permitan agilidad y flexibilidad en las configuraciones y conexiones especialmente por la conveniencia que le permite la retransmision por FormatA dandole mas dsitancia al punto final,,Cualquier receptor  Format A y transmisor Dante,PS-24AS,,,,,1,1,1,1,1,,,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,,,,1,1,1,,,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,,
457000,Audio,15. Transporte Audio,/457000_Nx-100S-.png,TOA,Nx-100S,Transiver IP,"Cuando necesite tomar señales de microfono o linea y transmitirlas a travez de su red LAN/WAN para si poder hacer sistemas de distribucion de llamados y anuncios a lugares y edificios remotos sin importar si estan en el mismo secotro o al otro lado del mundo, este es el equipo ideal",,,AD-246,,,,,,,1,,1,,,,,,1,,,,,,,,,,1,,1,,1,,,,1,1,,,,,,,,1,1,,,1,1,1,,1,,1,1,1,1,1,1,
458000,Audio,15. Transporte Audio,/458000_Nx-300-.png,TOA,Nx-300,Transiver IP 2ch,"Cuando necesite tomar 2 señales de microfono o linea y transmitirlas a travez de su red LAN/WAN,  para si poder hacer sistemas de distribucion de llamados y anuncios a lugares y edificios remotos sin importar si estan en el mismo secotro o al otro lado del mundo, este es el equipo ideal, o si lo que necesita es que de manera simultanea un canal transmita y el otro reciba, entonces esta es la version que usted deberia usar",,,AD-246,,,,,,,1,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,1,,,,,,,,,,,,1,,1,,,,,1,1,1,1,1,
459000,Audio,15. Transporte Audio,/459000_PRA-SFPLX-.png,Bosch,PRA-SFPLX,Transiver de FO Single Mode,Cuando necesite transportar las señalesd e audio y control de un sistema Praesensa a distancias mas largas que las que el IP por UTP puede hacer,1,Controlador PRA-CS Series,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,1,1,,,,,,,,1,1,,1,1,,1,1,1,1,1,1,1,1,1,,
460000,Audio,15. Transporte Audio,/460000_PRA-SFPSX-.png,Bosch,PRA-SFPSX,Transiver de FO Multi Mode,Cuando necesite transportar las señalesd e audio y control de un sistema Praesensa a distancias mas largas que las que el IP por UTP puede hacer,1,Controlador PRA-CS Series,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,1,1,,,,,,,,1,1,,1,1,,1,1,1,1,1,1,1,1,1,,
467000,Audio,15. Transporte Audio,/Fotos2024_4/CUI-DE2 ENT RTP.png,ClockAudio,CUI-DE2 ENT,Expansor de 4 entradas microfono o linea a Dante,Cuando desee trabajar con un microfono que no sea USB pero desee conectarlo directametne a su PC para que lo intgegre a una reunion Zoom/Teams.,,,,,,,1,1,1,1,1,1,,,,,1,1,,,,,,,,,,1,1,1,1,1,,,,1,1,,,,,,1,,1,1,,,1,,1,1,1,,1,1,1,1,1,,
